,address,largest_clique,clustering_coefficient,in_degree
114,1113NTT6kh18yCeJjia1t45RJqzJMPz2X5ApjstSAfEQevmDJVz,4,0.1310344827586207,30
115,1113PnWdvBkA9mtDM5YEDSn3uMnwEsLYQmu3CVc5U4wEfDCPusb,5,0.25146198830409355,19
116,1113QNNh1xiibqXv45z22QS8RcpHESw8p4q6EmJpBh6SaKcJZx6,5,0.2554112554112554,22
117,1113QaUbPZCwX5vnqtgtQixe2SjM1kdmiq8fGDq5HwjJYiU7Umg,6,0.2766798418972332,23
118,1113QyU4y1oGRCYtURVUYGvy53qC31587REJYaqXoWDFZ4kFgKb,6,0.2336182336182336,27
119,1113R4cb2Qh138tAYtnTPTJ8qjVVgF4UA82XwxUchaJY8YgQQog,7,0.6944444444444444,9
120,1113RV5W6DfKusSjDoivCUhx2TViC1uLZGyHuZVyd3NkVr7zpkW,7,0.45454545454545453,12
121,1113SRrEuZ5oKrgzT39j9ry7T1eTomkPqa8xFfpky3vcPtRSJ7U,8,0.16854636591478697,57
122,1113SazQu344WjyFx3vfFAVumW2bEmEz3FF1c3u9PPU5iVabtzj,5,0.0671602326811211,62
123,1113Su3nQGSpRQ2eWWhbPKDRf5GamWx63XcYKtVgRBypjrDoK9o,3,0.09523809523809523,7
124,1113T7gxwJaNnQKCFfHKBVKFq7MsZtqhy3RE9MabGq3QeLEoNe9,4,0.8333333333333334,4
125,1113TanjkcKkreTShEVu8owZ9xtrBga8GiBqVN76RbdW6WuCQT8,5,0.20952380952380953,15
126,1113TuC1qdy4trHvkT2K4sPnczKNKaKMyGvZ4vnmRDVupLcRbWJ,12,0.8382352941176471,17
127,1113UUjkWeksC8GFBywLrKYkcFfhWtjWMyLMLm5y7yZ4tjx4x6d,5,0.20526315789473684,20
128,1113UiHbaFPXjpvGTGrLxXxFawN2aCEx1wj8pifwrTTgBm3g6K4,6,0.31666666666666665,16
129,1113W1sRpygeRdtPAVcAMLFjfVsiaEwfPzBvPtsiqNWeejvXQS8,8,0.31054131054131057,27
130,1113WWv232PvW1R7AHcCMeDKEsgteNTwBLJvxXGuxCs2mfmDqsX,2,0.0,1
131,1113Y42V4xYZ1XeweRzoeXeQdYboujyYn2JywhFksE7SaErAsDQ,3,1.0,2
132,1113YSMnLKoW3NhVKjSYjQM5SjJY156MuKPwMFU9N3RNebRYz9u,2,0.0,1
133,1113ZFbt4L6A97Wn5AcZgmWzKzkZD7rczqRrpusfD5acrERrxTm,8,0.23674242424242425,33
134,1113aA28hvHABgDJtb2uBJgbCcV46oyhrhW27nN1TJugP9Au29T,7,0.8611111111111112,9
135,1113baUvvf9mEMSaDpV3XcKmA1RPNfCogiLQARAPTF3XTwBYLKW,2,0.0,1
136,1113djrqjP7fCkieYnHcCf3AVrUQArrtpoScnPy6Ztov612UJZF,6,0.2676923076923077,26
137,1113eZyectzwNHCgRS8uFDdCm1K5R7SNPQK7WwhRahF9AWSY9Z4,10,0.7571428571428571,21
138,1113fGYh4BjPm5hBdK3QjzuxEdaKRRLTk4EasTPNkuT7Qo17LaK,4,1.0,3
139,1113gB1ub57yTNpjWZZiECaz3v4KM7us8pz9vvhcwLLqivRY44j,11,0.5383244206773619,34
140,1113guch5pgEtX9CPuDcmMnQeRt4eTHFL2nTPATLvTUrEnAa6m8,4,0.8333333333333334,4
141,1113htD2kUHcLSstyy1Qxjy6Denh6JgVbwAHCs2tdnrX1TKAcbG,4,0.3333333333333333,9
142,1113huZGmoCcSGTnVYPm417HBqzCaPKLCEVSj6WbFD2d2Lx6H8Y,14,0.8461538461538461,26
143,1113jcj5hrCWEYbXMeZNR4y4omHwy673jmwA8mLigFraW2cDZez,5,0.0915915915915916,37
144,1113kQ3HBHBhuGu8Gbr2iNpJgwgCziDtDkYWTrizxm5GwWj2j3T,3,1.0,2
145,1113kcPBrLeYfuaPmD3QKhKBpRLZJygzdRgW7bnktegvqPumhjr,7,0.5333333333333333,10
146,1113mef9R8swed4WhThrtUCjjiRn21vxdnEYTukhgK4BfUHUqku,7,0.42857142857142855,15
147,1113oTfXgEPuSqwo5ntiysPB4avVHsqtEhBzEVLsRTGqpe1qsvA,2,0.0,1
148,1113pSa991LkQ6LcPVGuwc8TpcEcretLx3YQ84iPrYcJRe97piV,5,0.13816425120772946,46
149,1113qB3VbJ96zvgvfFxxxrL1EGJ6wvfbLshfgmMNo1WnnyY4MPi,4,1.0,3
150,1113qzyQtuK6foxoipsfkGXEXzAgFFaK4P4AwGkZYcp1HqXPrLY,4,0.2857142857142857,7
151,1113r4Bo4VSia1WZYVgdduGP4oDY4i9mkaVRESvtApiPSSbrPva,5,0.3717948717948718,13
152,1113rAbinzvXuShoWzHH16SCR2z9LwCPSxZagzXqE8AN8qGfwhb,9,0.19396051103368175,42
153,1113rhsR3qnLjMSLXPGjbAU8y8MkgUj31rZxCyuwxjnLpuCFmyv,6,1.0,5
154,1113s53XGardFK16Xnpjkdin3MVygxcw8XzBNL4YEcKVNtX7ADH,12,0.8430769230769231,26
155,1113s9Gfk9YWf55DxVjdYM4XU2cnt13it6ab9tFnVPb36xD4vnx,4,0.5,5
156,1113sEFXCkyTTFAFyKhru672vCNE3QBFBUVafcqt8DWCbLVMcAc,7,0.2706552706552707,27
157,1113uHiSCG4MTeauZjuVDKbMPCLyk7VbPmfw3jYMLDokCeBNQMJ,2,0.0,1
158,1113uezwXgFJrfJSKc8CLLSKpVpnEbukEh5WrakwbmzX7nSLhpZ,6,0.5277777777777778,9
159,1113w1qTQWDzEMiSmQv1SZjiquis1Z1vfRB9sqCZczJLhYvHFP2,3,0.3333333333333333,4
160,1113wWqoobGYdWpJPaW3JZCsfEfgSm2orpxZqegEEj4wKZrvQDg,7,0.4268774703557312,23
161,1113wa25penYbTEAjahtvfxgCnkTYgwPX5aYTfj4iaby4HQb7Qe,3,0.07692307692307693,14
162,1113yAfFDaWRHUFf6pFwBHj3KgobGd4qxbhjbp72Fi6iMQpuzju,4,0.6,5
163,1114193MTzXub1EuTWmowsQfdw8rM2tanPXLhwC5cPSjpkv6J6n,4,0.19117647058823528,17
164,111424wHqsHCGF9h2fFEWPjPRzdo9JrmvkK7M1xZP3RG2TLgMYw,4,0.2222222222222222,9
165,11142YJfX2tMWk6aTXBtwhP3RcKV31VYnR8voJbfq9tzmxq3Eq6,2,0.0,5
166,11142eTxUc9tKA8t5a5RGJhAsmobq7cgE4ojc4ZW1pCa2fiaDhD,3,0.1,5
167,11144UwpMjH3YWMyK8MSJ7D5uBtdVv6HX474Ruo4mR4HccLqbph,6,1.0,5
168,11145HW5iGyiRT8eWdRdHojYBBKJoivy4kw4qJD7F1Cicq2X9kc,6,0.09512937595129375,73
169,11145yRSAH75TB28DkRvZppsi3KCA7h7S4cedjozyVHWqxiiW2r,7,0.5686274509803921,18
170,11146ctD3X567cM2yS8MBXd253jyW8QdW2L1rMeBZPrebNbEB49,8,0.1496537187594098,82
171,11146k5agqkMwEUujqEgWhXEeQM9v26gCdYTP4z5ZKSKgZRLvPB,3,0.0661764705882353,17
172,1114888XpM8kZCiy1yPLAgumpoEJDKQe1wfZufLGMMXvEjXnteF,3,1.0,2
173,11148boP6RfEqLjb1GXeFapwVtBF89pdbJ4XcBp3YbFna894jw5,2,0.0,1
174,11149PCYcm2kHei8VX8Pn5KyUMfRMRV2qN18wueMHJuiSApezvd,9,0.6631578947368421,20
175,11149TNFkZyN8kzFktP472z4SgaHzoG5CTXo7taNn9c4afHPu9L,6,0.4065934065934066,14
176,11149VmCReLiBrdYD4r3jmYvkGV2i5VN162ECsC3jR4gzZuLZjy,3,0.3333333333333333,6
177,1114ArTbBaKjx2uZNLQ1noMVFhDa7W6YQsjTtDvZ61vT4ev3i4Q,4,1.0,3
178,1114CZZgProCHFx2roin7SKkEhpoj6Dp68AVaRJ3jsfDXPJuPo5,4,0.07446808510638298,48
179,1114CiZuWjVVjjQMsn6YMwSpihFMndGSuVGP2GiGxPqxMriukZP,6,0.08225108225108226,22
180,1114D4UeJ78uB8SAuJLQqZ8Skw4cj5HsnNXpAAwpxsKsvH4vTmZ,4,0.2,10
181,1114DoAovu4U9D559A6tQSwbxKEDdVJt7uVMX5LaTRb7zkCmztC,6,0.5751633986928104,18
